Entidad,Sexo,Puesto,minutos_app,total_encuestas,total_asist,Fecha
Querétaro,Sin dato,Enfermera/o,459.7,7,9,2024-07-15
Sonora,Hombre,Estudiante de medicina,387.6,0,8,2024-07-15
Sonora,Sin dato,Médica/o,2333.9,7,9,2024-07-15
Jalisco,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Campeche,Mujer,Trabajador/a social,0.0,0,1,2024-07-15
Oaxaca,Mujer,Administrativa/o,0.0,0,0,2024-07-15
Campeche,Sin dato,Médica/o,250.7,6,8,2024-07-15
Nuevo León,Mujer,"Coordinador/a, Responsable O Supervisión De Área",401.5,0,8,2024-07-15
Nuevo León,Mujer,Médica/o,30.1,0,3,2024-07-15
Coahuila,Mujer,Psicóloga/o,7.1,0,4,2024-07-15
Jalisco,Sin dato,Médica/o residente,0.0,7,8,2024-07-15
Nuevo León,Sin dato,Enfermera/o,0.0,7,1,2024-07-15
Sonora,Mujer,Administrativa/o,0.0,0,0,2024-07-15
Campeche,Hombre,Médica/o,0.0,0,2,2024-07-15
Sonora,Mujer,Administrativa/o,1032.1,0,9,2024-07-15
Nuevo León,Mujer,Psicóloga/o,1073.2,0,9,2024-07-15
Querétaro,Mujer,Sin dato,432.1,0,5,2024-07-15
Jalisco,Mujer,Enfermera/o,1874.9,0,8,2024-07-15
Querétaro,Mujer,Médica/o,0.0,0,0,2024-07-15
Oaxaca,Mujer,Médica/o,55.7,0,7,2024-07-15
Querétaro,Mujer,Médica/o,341.0,0,9,2024-07-15
Campeche,Mujer,Administrativa/o,575.1,0,9,2024-07-15
Sonora,Mujer,Estudiante de medicina,515.1,0,7,2024-07-15
Coahuila,Hombre,Odontóloga/o,0.0,0,6,2024-07-15
Nuevo León,Mujer,Pasante,187.6,0,7,2024-07-15
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-15
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",569.9,0,9,2024-07-15
Campeche,Mujer,Administrativa/o,676.9,0,9,2024-07-15
Oaxaca,Mujer,Psicóloga/o,57.4,0,0,2024-07-15
Campeche,Sin dato,Sin dato,12.0,0,9,2024-07-15
Coahuila,Mujer,Médica/o residente,0.0,0,0,2024-07-15
Nuevo León,Sin dato,Administrativa/o,181.5,7,4,2024-07-15
Nuevo León,Sin dato,Pasante,154.2,7,2,2024-07-15
Sonora,Mujer,Psicóloga/o,0.0,0,0,2024-07-15
Sonora,Mujer,Sin dato,0.0,0,0,2024-07-15
Sonora,Sin dato,Nutrióloga/o,29.8,7,0,2024-07-15
Campeche,Mujer,Enfermera/o,189.9,0,9,2024-07-15
Querétaro,Mujer,Médica/o,300.0,0,9,2024-07-15
Campeche,Mujer,Administrativa/o,197.2,0,9,2024-07-15
Coahuila,Sin dato,Médica/o,0.0,7,2,2024-07-15
Sonora,Mujer,Médica/o residente,587.5,0,8,2024-07-15
Sonora,Sin dato,Administrativa/o,521.3,7,9,2024-07-15
Nuevo León,Sin dato,Administrativa/o,94.1,7,7,2024-07-15
Nuevo León,Hombre,Sin dato,0.0,0,0,2024-07-15
Querétaro,Mujer,Administrativa/o,11.8,0,1,2024-07-15
Oaxaca,Mujer,Pasante,300.0,0,9,2024-07-15
Oaxaca,Hombre,Médica/o,375.5,0,9,2024-07-15
Campeche,Mujer,Enfermera/o,54.9,0,0,2024-07-15
Sonora,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Campeche,Sin dato,Psicóloga/o,852.5,7,8,2024-07-15
Querétaro,Mujer,Médica/o,0.0,0,6,2024-07-15
Sonora,Mujer,Psicóloga/o,319.8,0,8,2024-07-15
Sonora,Sin dato,Psicóloga/o,936.2,7,9,2024-07-15
Sonora,Mujer,Estudiante de medicina,836.8,0,8,2024-07-15
Sonora,Hombre,Médica/o,11.8,0,0,2024-07-15
Sonora,Mujer,Otro (Especifique),619.0,0,7,2024-07-15
Sonora,Sin dato,Estudiante de medicina,0.0,0,2,2024-07-15
Sonora,Sin dato,"Coordinador/a, responsable o supervisión de área",556.3,6,9,2024-07-15
Coahuila,Sin dato,Estudiante de medicina,608.1,0,8,2024-07-15
Nuevo León,Sin dato,Médica/o,451.5,7,9,2024-07-15
Nuevo León,Mujer,"Coordinador/a, Responsable O Supervisión De Área",532.6,0,9,2024-07-15
Oaxaca,Hombre,Verificador/a sanitario,0.0,0,0,2024-07-15
Nuevo León,Sin dato,Médica/o,0.0,7,0,2024-07-15
Guanajuato,Hombre,"Coordinador/a, responsable o supervisión de área",0.0,0,1,2024-07-15
Querétaro,Hombre,Pasante,0.0,0,1,2024-07-15
Sonora,Hombre,Estudiante de medicina,826.2,0,7,2024-07-15
Coahuila,Hombre,Sin dato,0.0,0,0,2024-07-15
Guanajuato,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Campeche,Mujer,"Coordinador/a, responsable o supervisión de área",5.8,0,8,2024-07-15
Sonora,Mujer,Médico/a Residente,0.0,0,0,2024-07-15
Campeche,Mujer,Enfermera/o,0.0,0,1,2024-07-15
Oaxaca,Mujer,Pasante,333.2,0,9,2024-07-15
Oaxaca,Mujer,Médica/o,0.0,0,1,2024-07-15
Oaxaca,Mujer,Médica/o,0.0,0,0,2024-07-15
Oaxaca,Mujer,Médica/o,0.0,0,1,2024-07-15
Nuevo León,Sin dato,Enfermera/o,396.3,7,9,2024-07-15
Querétaro,Sin dato,Enfermera/o,952.2,7,7,2024-07-15
Sonora,Sin dato,Sin dato,0.6,0,1,2024-07-15
Coahuila,Mujer,Psicóloga/o,0.0,0,0,2024-07-15
Coahuila,Sin dato,Estudiante de medicina,0.0,0,0,2024-07-15
Oaxaca,Mujer,Pasante,0.0,0,0,2024-07-15
Querétaro,Mujer,Pasante,39.0,0,5,2024-07-15
Nuevo León,Sin dato,Sin dato,0.0,0,1,2024-07-15
Nuevo León,Mujer,Técnica/o,832.4,0,8,2024-07-15
Campeche,Mujer,Personal Directivo,415.3,0,8,2024-07-15
Oaxaca,Mujer,Administrativa/o,0.0,0,1,2024-07-15
Sonora,Mujer,Promotor/a En Salud,23.5,0,5,2024-07-15
Sonora,Mujer,Médica/o residente,300.0,0,8,2024-07-15
Oaxaca,Sin dato,Administrativa/o,0.0,7,0,2024-07-15
Sonora,Sin dato,Sin dato,0.0,0,1,2024-07-15
Oaxaca,Mujer,Pasante,397.0,0,9,2024-07-15
Oaxaca,Mujer,Pasante,0.3,0,2,2024-07-15
Oaxaca,Mujer,Enfermera/o,6.4,0,3,2024-07-15
Oaxaca,Mujer,Enfermera/o,11.7,0,1,2024-07-15
Sonora,Mujer,Administrativa/o,0.0,0,0,2024-07-15
Sonora,Mujer,Otro (Especifique),0.0,0,0,2024-07-15
Coahuila,Mujer,Interna/o,0.0,0,0,2024-07-15
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Guanajuato,Mujer,Enfermera/o,972.5,0,8,2024-07-15
Oaxaca,Mujer,Administrativa/o,646.7,0,9,2024-07-15
Sonora,Hombre,Administrativa/o,335.6,0,7,2024-07-15
Oaxaca,Mujer,Enfermera/o,784.3,0,9,2024-07-15
Sonora,Mujer,Médica/o residente,654.7,0,9,2024-07-15
Querétaro,Mujer,Pasante,0.0,0,0,2024-07-15
Sonora,Mujer,Estudiante de medicina,165.2,0,1,2024-07-15
Oaxaca,Mujer,Pasante,0.0,0,2,2024-07-15
Nuevo León,Sin dato,Médica/o,227.1,7,9,2024-07-15
Querétaro,Sin dato,Sin dato,0.0,0,1,2024-07-15
Coahuila,Mujer,Química/o,322.2,0,9,2024-07-15
Campeche,Prefiero No Contestar,Administrativa/o,0.0,0,9,2024-07-15
Oaxaca,Mujer,Médica/o,0.0,0,0,2024-07-15
Oaxaca,Sin dato,Sin dato,755.7,0,9,2024-07-15
Ciudad De México,Hombre,Médica/o,0.9,0,1,2024-07-15
Oaxaca,Mujer,Administrativa/o,370.2,0,8,2024-07-15
Coahuila,Mujer,Personal Directivo,42.0,0,3,2024-07-15
Sonora,Hombre,Psicóloga/o,446.9,0,9,2024-07-15
Oaxaca,Hombre,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,2,2024-07-15
Sonora,Mujer,Estudiante de medicina,358.3,0,9,2024-07-15
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-15
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Querétaro,Sin dato,Pasante,0.0,5,0,2024-07-15
Querétaro,Mujer,Otro (Especifique),125.7,0,1,2024-07-15
Jalisco,Mujer,Administrativa/o,1631.0,0,6,2024-07-15
Nuevo León,Mujer,Psicóloga/o,437.6,0,9,2024-07-15
Oaxaca,Mujer,Supervisor/a,558.0,0,9,2024-07-15
Oaxaca,Mujer,Enfermera/o,734.4,0,9,2024-07-15
Coahuila,Sin dato,Sin dato,303.3,0,9,2024-07-15
Sonora,Hombre,Estudiante de medicina,470.4,0,6,2024-07-15
Coahuila,Sin dato,Sin dato,740.6,0,8,2024-07-15
Colombia,Mujer,"Coordinador/a, responsable o supervisión de área",914.8,0,7,2024-07-15
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Guanajuato,Mujer,Sin dato,0.0,0,0,2024-07-15
Coahuila,Hombre,Personal Directivo,174.2,0,3,2024-07-15
Oaxaca,Sin dato,Sin dato,634.4,0,9,2024-07-15
Jalisco,Sin dato,Sin dato,2644.3,0,9,2024-07-15
Coahuila,Sin dato,Personal directivo,0.0,7,2,2024-07-15
Coahuila,Hombre,Médica/o,323.9,0,9,2024-07-15
Querétaro,Hombre,Enfermera/o,0.0,0,1,2024-07-15
Coahuila,Mujer,Administrativa/o,1733.6,7,9,2024-07-15
Oaxaca,Mujer,Odontóloga/o,608.3,0,9,2024-07-15
Querétaro,Hombre,Nutrióloga/o,12.2,0,4,2024-07-15
Sonora,Sin dato,Sin dato,0.0,0,1,2024-07-15
Nuevo León,Sin dato,Enfermera/o,0.0,6,3,2024-07-15
Sin dato,Mujer,Sin dato,0.0,0,0,2024-07-15
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",674.2,7,2,2024-07-15
Querétaro,Mujer,Psicóloga/o,1101.4,0,8,2024-07-15
Nuevo León,Mujer,Enfermera/o,0.0,0,9,2024-07-15
Nuevo León,Sin dato,Sin dato,0.0,0,1,2024-07-15
Querétaro,Mujer,Pasante,12.0,0,3,2024-07-15
Querétaro,Mujer,Otro (Especifique),38.9,0,0,2024-07-15
Coahuila,Hombre,Médica/o,0.0,0,2,2024-07-15
Sonora,Mujer,Administrativa/o,0.0,0,3,2024-07-15
Nuevo León,Mujer,Médica/o,634.7,0,9,2024-07-15
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",702.0,0,9,2024-07-15
Sonora,Hombre,Psicóloga/o,0.0,0,1,2024-07-15
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-15
Querétaro,Mujer,Psicóloga/o,535.7,0,8,2024-07-15
Querétaro,Hombre,Pasante,571.5,0,9,2024-07-15
Oaxaca,Sin dato,Técnica/o,9.3,7,2,2024-07-15
Coahuila,Sin dato,Sin dato,482.1,0,9,2024-07-15
Querétaro,Mujer,Nutrióloga/o,441.1,0,5,2024-07-15
Campeche,Hombre,Médica/o,672.1,0,9,2024-07-15
Coahuila,Mujer,Química/o,0.0,0,0,2024-07-15
Colima,Mujer,Otro,0.0,0,4,2024-07-15
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-15
Sonora,Mujer,Estudiante de medicina,847.6,0,8,2024-07-15
Sonora,Mujer,Pasante,0.0,0,8,2024-07-15
Nuevo León,Hombre,Enfermera/o,643.1,0,9,2024-07-15
Querétaro,Hombre,Administrativa/o,0.0,0,0,2024-07-15
Campeche,Mujer,Psicóloga/o,102.1,0,8,2024-07-15
Oaxaca,Mujer,Médica/o,0.0,0,0,2024-07-15
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Nuevo León,Mujer,Pasante,677.8,0,9,2024-07-15
Oaxaca,Sin dato,Médica/o,783.4,7,8,2024-07-15
Nuevo León,Mujer,Pasante,363.9,0,9,2024-07-15
Querétaro,Sin dato,Enfermera/o,0.0,7,0,2024-07-15
Oaxaca,Mujer,Médica/o,1162.4,0,9,2024-07-15
Oaxaca,Mujer,Psicóloga/o,0.0,0,1,2024-07-15
Querétaro,Mujer,Pasante,0.0,0,2,2024-07-15
Sonora,Mujer,Enfermera/o,5.9,0,3,2024-07-15
Oaxaca,Sin dato,Enfermera/o,0.0,7,0,2024-07-15
Sonora,Hombre,Otro (Especifique),0.0,0,0,2024-07-15
Oaxaca,Mujer,Médica/o,800.4,0,9,2024-07-15
Oaxaca,Sin dato,Administrativa/o,80.4,6,4,2024-07-15
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Nuevo León,Mujer,Médica/o,30.8,0,7,2024-07-15
Querétaro,Sin dato,Enfermera/o,1173.8,7,9,2024-07-15
Oaxaca,Mujer,Enfermera/o,963.5,0,9,2024-07-15
Sonora,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Nuevo León,Sin dato,Promotor/a en salud,581.1,7,9,2024-07-15
Sonora,Sin dato,Promotor/a en salud,613.6,7,9,2024-07-15
Oaxaca,Mujer,Administrativa/o,637.5,0,9,2024-07-15
Querétaro,Mujer,Química/o,0.0,0,1,2024-07-15
Querétaro,Hombre,Otro (Especifique),0.0,0,1,2024-07-15
Querétaro,Mujer,Enfermera/o,0.0,0,2,2024-07-15
Campeche,Mujer,Pasante,0.0,0,0,2024-07-15
Nuevo León,Sin dato,Enfermera/o,0.0,7,7,2024-07-15
Campeche,Mujer,Enfermera/o,0.0,0,1,2024-07-15
Campeche,Mujer,Médica/o,907.5,0,9,2024-07-15
Oaxaca,Sin dato,Enfermera/o,0.0,6,0,2024-07-15
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",204.5,0,9,2024-07-15
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-15
Guanajuato,Mujer,"Coordinador/a, responsable o supervisión de área",0.0,0,0,2024-07-15
Sonora,Hombre,Docente,385.7,0,9,2024-07-15
Sonora,Sin dato,"Coordinador/a, responsable o supervisión de área",0.0,7,0,2024-07-15
Campeche,Mujer,Pasante,0.0,0,0,2024-07-15
Coahuila,Sin dato,Enfermera/o,828.3,7,9,2024-07-15
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Querétaro,Mujer,"Coordinador/a, responsable o supervisión de área",792.9,0,9,2024-07-15
Querétaro,Mujer,Médica/o,0.0,0,0,2024-07-15
Jalisco,Mujer,Enfermera/o,52.4,0,3,2024-07-15
Querétaro,Mujer,Otro (Especifique),965.5,0,9,2024-07-15
Nuevo León,Sin dato,Administrativa/o,808.6,7,9,2024-07-15
Nuevo León,Mujer,Administrativa/o,646.7,0,8,2024-07-15
Oaxaca,Mujer,Administrativa/o,0.0,0,0,2024-07-15
Sonora,Mujer,Trabajador/a social,0.0,0,0,2024-07-15
Sonora,Mujer,Psicóloga/o,772.7,7,9,2024-07-15
Oaxaca,Mujer,Enfermera/o,17.5,0,3,2024-07-15
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Sonora,Mujer,Otro (Especifique),0.0,0,0,2024-07-15
Oaxaca,Sin dato,Administrativa/o,1296.6,7,8,2024-07-15
Querétaro,Mujer,Pasante,0.0,0,0,2024-07-15
Querétaro,Mujer,Pasante,0.0,0,4,2024-07-15
Sonora,Mujer,Psicóloga/o,0.0,0,2,2024-07-15
Querétaro,Hombre,Pasante,951.5,0,9,2024-07-15
Campeche,Mujer,Nutrióloga/o,119.0,0,1,2024-07-15
Nuevo León,Mujer,Nutrióloga/o,0.0,0,7,2024-07-15
Nuevo León,Sin dato,Nutrióloga/o,680.2,7,7,2024-07-15
Querétaro,Sin dato,Nutrióloga/o,625.2,7,9,2024-07-15
Sonora,Mujer,Promotor/a En Salud,0.0,0,0,2024-07-15
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,2,2024-07-15
Sonora,Hombre,Psicóloga/o,0.0,0,0,2024-07-15
Campeche,Sin dato,Médica/o residente,325.4,7,8,2024-07-15
Nuevo León,Mujer,"Coordinador/a, responsable o supervisión de área",510.8,0,9,2024-07-15
Nuevo León,Mujer,Administrativa/o,55.2,0,3,2024-07-15
Campeche,Mujer,Enfermera/o,0.0,0,3,2024-07-15
Querétaro,Mujer,Pasante,90.2,0,8,2024-07-15
Sonora,Hombre,Psicóloga/o,14.9,0,2,2024-07-15
Oaxaca,Mujer,Odontóloga/o,833.3,0,9,2024-07-15
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",1274.3,0,9,2024-07-15
Oaxaca,Sin dato,Personal directivo,1117.8,7,9,2024-07-15
Nuevo León,Mujer,Enfermera/o,129.6,0,2,2024-07-15
Coahuila,Mujer,"Coordinador/a, responsable o supervisión de área",982.3,0,9,2024-07-15
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-15
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",376.4,7,5,2024-07-15
Sonora,Sin dato,"Coordinador/a, responsable o supervisión de área",2932.5,7,9,2024-07-15
Campeche,Mujer,Trabajador/a social,0.0,0,3,2024-07-15
Coahuila,Mujer,Enfermera/o,724.4,0,9,2024-07-15
Querétaro,Hombre,Médica/o,0.0,0,0,2024-07-15
Sin dato,Mujer,Sin dato,0.0,0,0,2024-07-15
Nuevo León,Sin dato,Personal directivo,727.4,7,9,2024-07-15
Guanajuato,Mujer,"Coordinador/a, Responsable O Supervisión De Área",629.6,0,9,2024-07-15
Sonora,Hombre,Médica/o residente,312.1,0,8,2024-07-15
Ciudad De México,Hombre,Otro,11.7,0,7,2024-07-15
Querétaro,Mujer,Pasante,0.0,0,0,2024-07-15
Campeche,Hombre,Pasante,0.0,0,0,2024-07-15
Coahuila,Hombre,Psicóloga/o,498.1,0,9,2024-07-15
Sonora,Hombre,Estudiante de medicina,339.6,0,8,2024-07-15
Guanajuato,Hombre,Enfermera/o,0.0,0,0,2024-07-15
Oaxaca,Hombre,Médica/o,576.5,0,8,2024-07-15
Sonora,Hombre,Médica/o residente,0.0,0,1,2024-07-15
Coahuila,Hombre,Enfermera/o,42.7,0,0,2024-07-15
Sonora,Mujer,Enfermera/o,45.6,0,9,2024-07-15
Coahuila,Hombre,Enfermera/o,0.0,0,2,2024-07-15
Guanajuato,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Nuevo León,Mujer,Pasante,0.0,0,0,2024-07-15
Otro (Especifique),Mujer,Sin dato,0.0,0,0,2024-07-15
Sonora,Mujer,Psicóloga/o,346.2,0,9,2024-07-15
Querétaro,Hombre,Enfermera/o,0.0,0,2,2024-07-15
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Querétaro,Hombre,Administrativa/o,0.0,0,1,2024-07-15
Querétaro,Hombre,Personal Directivo,0.0,0,0,2024-07-15
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-15
Querétaro,Hombre,Pasante,449.7,0,8,2024-07-15
Sonora,Hombre,"Coordinador/a, responsable o supervisión de área",0.0,0,1,2024-07-15
Oaxaca,Mujer,Odontóloga/o,642.5,0,9,2024-07-15
Oaxaca,Mujer,Enfermera/o,43.1,0,4,2024-07-15
Oaxaca,Mujer,Pasante,572.5,0,8,2024-07-15
Querétaro,Sin dato,Enfermera/o,510.6,7,9,2024-07-15
Oaxaca,Sin dato,Pasante,630.4,7,7,2024-07-15
Campeche,Sin dato,Psicóloga/o,300.0,7,9,2024-07-15
Sonora,Hombre,Estudiante de medicina,0.0,0,0,2024-07-15
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-15
Campeche,Sin dato,Médica/o residente,652.3,7,9,2024-07-15
Guanajuato,Mujer,Médica/o,0.0,0,0,2024-07-15
Coahuila,Hombre,Paramédica/o,332.0,0,8,2024-07-15
Campeche,Sin dato,Enfermera/o,0.7,6,1,2024-07-15
Sonora,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,0,2024-07-15
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-15
Sonora,Mujer,Estudiante de medicina,497.5,0,7,2024-07-15
Nuevo León,Mujer,"Coordinador/a, Responsable O Supervisión De Área",659.0,0,9,2024-07-15
Coahuila,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,0,2024-07-15
Oaxaca,Mujer,Pasante,735.8,0,8,2024-07-15
Nuevo León,Mujer,Pasante,0.0,0,0,2024-07-15
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Querétaro,Mujer,Pasante,156.5,0,7,2024-07-15
Estado De México,Sin dato,Sin dato,0.0,0,4,2024-07-15
Sonora,Mujer,Médico/a Residente,0.0,0,2,2024-07-15
Querétaro,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,7,2024-07-15
Querétaro,Mujer,Nutrióloga/o,0.0,0,0,2024-07-15
Querétaro,Mujer,Administrativa/o,0.0,0,0,2024-07-15
Campeche,Mujer,"Coordinador/a, responsable o supervisión de área",583.0,0,8,2024-07-15
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-15
Sonora,Mujer,Médica/o residente,264.6,0,8,2024-07-15
Querétaro,Mujer,"Coordinador/a, Responsable O Supervisión De Área",409.0,0,7,2024-07-15
Coahuila,Mujer,Médica/o residente,0.0,0,0,2024-07-15
Querétaro,Sin dato,Médica/o,1631.2,7,9,2024-07-15
Campeche,Mujer,Psicóloga/o,47.2,0,3,2024-07-15
AtentaMente,Mujer,Personal Directivo,0.0,0,6,2024-07-15
Campeche,Mujer,Psicóloga/o,0.0,0,1,2024-07-15
Sonora,Mujer,Médica/o,431.1,0,9,2024-07-15
Nuevo León,Mujer,Administrativa/o,20.9,0,2,2024-07-15
Jalisco,Mujer,Nutrióloga/o,0.0,0,3,2024-07-15
Sonora,Hombre,Paramédica/o,15.0,7,1,2024-07-15
Sonora,Sin dato,Promotor/a en salud,788.3,7,9,2024-07-15
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-15
Oaxaca,Mujer,Enfermera/o,0.0,0,1,2024-07-15
Querétaro,Sin dato,Odontóloga/o,2580.5,7,9,2024-07-15
Sonora,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Zacatecas,Hombre,Otro (Especifique),0.0,0,1,2024-07-15
Oaxaca,Mujer,Sin dato,0.0,0,2,2024-07-15
Oaxaca,Hombre,Médica/o,636.5,0,9,2024-07-15
Jalisco,Hombre,Enfermera/o,0.0,0,0,2024-07-15
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",551.7,7,9,2024-07-15
Campeche,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Coahuila,Sin dato,Sin dato,596.1,0,8,2024-07-15
Oaxaca,Sin dato,Pasante,680.3,7,9,2024-07-15
Campeche,Sin dato,Química/o,614.9,7,9,2024-07-15
Oaxaca,Hombre,Pasante,0.0,0,0,2024-07-15
Campeche,Sin dato,Nutrióloga/o,245.5,7,7,2024-07-15
Querétaro,Sin dato,Sin dato,0.0,0,1,2024-07-15
Sonora,Mujer,Personal Directivo,3.6,0,5,2024-07-15
Querétaro,Mujer,Pasante,163.8,0,1,2024-07-15
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Oaxaca,Mujer,Química/o,1121.8,0,9,2024-07-15
Oaxaca,Mujer,Administrativa/o,303.3,0,7,2024-07-15
Nuevo León,Hombre,Enfermera/o,0.0,0,0,2024-07-15
Jalisco,Sin dato,Sin dato,0.0,0,5,2024-07-15
Querétaro,Sin dato,Pasante,674.0,7,9,2024-07-15
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Oaxaca,Sin dato,Enfermera/o,329.0,7,8,2024-07-15
Querétaro,Mujer,Psicóloga/o,0.0,0,3,2024-07-15
Coahuila,Sin dato,Médica/o,142.8,7,7,2024-07-15
Jalisco,Mujer,Médica/o,0.0,0,0,2024-07-15
Campeche,Mujer,Administrativa/o,498.6,0,9,2024-07-15
Querétaro,Sin dato,Médica/o residente,480.1,2,8,2024-07-15
Campeche,Mujer,Médica/o,0.0,0,0,2024-07-15
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,0,2024-07-15
Coahuila,Sin dato,Estudiante de medicina,29.8,0,7,2024-07-15
Sonora,Hombre,Promotor/a En Salud,0.0,0,0,2024-07-15
Querétaro,Sin dato,Sin dato,0.0,0,1,2024-07-15
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Campeche,Mujer,Enfermera/o,0.0,0,0,2024-07-15
Querétaro,Sin dato,Administrativa/o,530.5,7,9,2024-07-15
Campeche,Hombre,Médica/o,0.0,0,0,2024-07-15
Guanajuato,Hombre,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-15
Sonora,Mujer,Nutrióloga/o,54.9,0,2,2024-07-15
Querétaro,Sin dato,Promotor/a en salud,347.0,7,9,2024-07-15
Nuevo León,Mujer,Promotor/a En Salud,631.5,0,9,2024-07-15
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-15
Sonora,Mujer,"Coordinador/a, Responsable O Supervisión De Área",588.5,0,8,2024-07-15
Oaxaca,Mujer,Administrativa/o,21.2,0,3,2024-07-15
SIMI,Mujer,Psicóloga/o,1082.2,0,9,2024-07-15
Sonora,Sin dato,Psicóloga/o,936.3,7,9,2024-07-15
Oaxaca,Mujer,Psicóloga/o,0.0,0,0,2024-07-15
Querétaro,Mujer,Psicóloga/o,0.0,0,0,2024-07-15
Campeche,Mujer,Administrativa/o,356.6,0,9,2024-07-15
Oaxaca,Mujer,Administrativa/o,627.7,0,6,2024-07-15
Coahuila,Mujer,"Coordinador/a, Responsable O Supervisión De Área",535.0,0,9,2024-07-15
SIMI,Mujer,Psicóloga/o,541.0,0,8,2024-07-15
Oaxaca,Sin dato,Sin dato,0.0,0,3,2024-07-15
Estado de México,Mujer,Psicóloga/o,561.2,0,7,2024-07-15
Querétaro,Hombre,Médica/o,51.7,0,2,2024-07-15
Querétaro,Hombre,Psicóloga/o,660.7,0,7,2024-07-15
Campeche,Sin dato,Sin dato,100.7,0,8,2024-07-15
Sonora,Sin dato,Psicóloga/o,315.2,7,9,2024-07-15
Campeche,Sin dato,Personal directivo,791.4,7,9,2024-07-15
Sonora,Mujer,Psicóloga/o,172.5,0,4,2024-07-15
Otro (Especifique),Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-15
Sonora,Hombre,Médica/o,0.0,0,1,2024-07-15
Sonora,Mujer,Psicóloga/o,0.0,0,0,2024-07-15
Querétaro,Mujer,Pasante,434.5,0,9,2024-07-15
Campeche,Sin dato,Enfermera/o,103.3,7,3,2024-07-15
Querétaro,Mujer,Administrativa/o,462.5,0,8,2024-07-15
Oaxaca,Mujer,Química/o,864.4,0,8,2024-07-15
Sonora,Hombre,Química/o,0.0,0,0,2024-07-15
Oaxaca,Mujer,"Coordinador/a, responsable o supervisión de área",0.0,0,1,2024-07-15
Campeche,Hombre,Química/o,0.0,0,0,2024-07-15
Campeche,Hombre,Química/o,0.0,0,0,2024-07-15
Coahuila,Mujer,"Coordinador/a, responsable o supervisión de área",0.0,0,0,2024-07-15
Jalisco,Hombre,Química/o,0.0,0,0,2024-07-15
Querétaro,Mujer,Química/o,890.6,0,9,2024-07-15
Querétaro,Mujer,Enfermera/o,618.6,0,9,2024-07-15
Oaxaca,Mujer,Administrativa/o,470.8,0,8,2024-07-15
Guanajuato,Mujer,Médica/o,0.0,0,1,2024-07-15
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-15
